Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Parameter Learning in Probabilistic Databases: A Least Squares Approach","Machine Learning and Knowledge Discovery in Databases","","","","10.1007/978-3-540-87479-9_49","Bernd GutmannAngelika KimmigKristian KerstingLuc De Raedt","2008","http://link.springer.com/chapter/10.1007/978-3-540-87479-9_49","Chapter"
"A memory-based approach to sensory-motor coordination","Machine Vision and Applications","","10","5 - 6","10.1007/s001380050078","Nicola VeneriStefano MesselodiBruno Crespi","1998","http://link.springer.com/article/10.1007/s001380050078","Article"
"Learning on the fly: a font-free approach toward multilingual OCR","International Journal on Document Analysis and Recognition (IJDAR)","","14","3","10.1007/s10032-011-0164-6","Andrew KaeDavid A. SmithErik Learned-Miller","2011","http://link.springer.com/article/10.1007/s10032-011-0164-6","Article"
"Semantics of a Multimedia Database for Support within Synthetic Environments for Multiple Sensor Systems","Database Semantics","","","","10.1007/978-0-387-35561-0_23","Gerald SterlingElizabeth ChangTharam Dillon","1999","http://link.springer.com/chapter/10.1007/978-0-387-35561-0_23","Chapter"
"Webmind","Creating Internet Intelligence","","","","10.1007/978-1-4615-0561-7_12","Ben Goertzel","2002","http://link.springer.com/chapter/10.1007/978-1-4615-0561-7_12","Chapter"
"Gaze movement-driven random forests for query clustering in automatic video annotation","Multimedia Tools and Applications","","76","2","10.1007/s11042-015-3221-1","Stefanos VrochidisIoannis PatrasIoannis Kompatsiaris","2017","http://link.springer.com/article/10.1007/s11042-015-3221-1","Article"
"Networking Readers: Using Semantic and Geographical Links to Enhance e-Books Reading Experience","Computational Collective Intelligence","","","","10.1007/978-3-319-45246-3_6","Dan CristeaIonuț PistolDaniela GîfuDaniel Anechitei","2016","http://link.springer.com/chapter/10.1007/978-3-319-45246-3_6","Chapter"
"Mobile authoring of open educational resources for authentic learning scenarios","Universal Access in the Information Society","","15","3","10.1007/s10209-014-0391-y","Bernardo TabuencaMarco KalzStefaan TernierMarcus Specht","2016","http://link.springer.com/article/10.1007/s10209-014-0391-y","Article"
"An n-gram-based approach for detecting approximately duplicate database records","International Journal on Digital Libraries","","3","4","10.1007/s007990100044","Zengping TianHongjun LuWenyun JiAoying ZhouZhong Tian","2002","http://link.springer.com/article/10.1007/s007990100044","Article"
"Near Duplicate Document Detection for Large Information Flows","Multidisciplinary Research and Practice for Information Systems","","","","10.1007/978-3-642-32498-7_16","Daniele MontanariPiera Laura Puglisi","2012","http://link.springer.com/chapter/10.1007/978-3-642-32498-7_16","Chapter"
"The Eras and Trends of Automatic Short Answer Grading","International Journal of Artificial Intelligence in Education","","25","1","10.1007/s40593-014-0026-8","Steven BurrowsIryna GurevychBenno Stein","2015","http://link.springer.com/article/10.1007/s40593-014-0026-8","Article"
"Ontology-Driven Information Extraction with OntoSyphon","The Semantic Web - ISWC 2006","","","","10.1007/11926078_31","Luke K. McDowellMichael Cafarella","2006","http://link.springer.com/chapter/10.1007/11926078_31","Chapter"
"An effective real-time color quantization method based on divisive hierarchical clustering","Journal of Real-Time Image Processing","","10","2","10.1007/s11554-012-0291-4","M. Emre CelebiQuan WenSae Hwang","2015","http://link.springer.com/article/10.1007/s11554-012-0291-4","Article"
"Self-training for Handwritten Text Line Recognition","Progress in Pattern Recognition, Image Analysis, Computer Vision, and Applications","","","","10.1007/978-3-642-16687-7_18","Volkmar FrinkenHorst Bunke","2010","http://link.springer.com/chapter/10.1007/978-3-642-16687-7_18","Chapter"
"A Multimedia System Architecture for Automatic Annotation of Sports Videos","Computer Vision Systems","","","","10.1007/3-540-36592-3_49","William ChristmasEdward JaserKieron MesserJosef Kittler","2003","http://link.springer.com/chapter/10.1007/3-540-36592-3_49","Chapter"
"Multimedia Content Analysis: The Next Wave","Image and Video Retrieval","","","","10.1007/3-540-45113-7_2","Nevenka Dimitrova","2003","http://link.springer.com/chapter/10.1007/3-540-45113-7_2","Chapter"
"Recognising text in real scenes","International Journal on Document Analysis and Recognition","","4","4","10.1007/s10032-001-0072-2","Paul ClarkMajid Mirmehdi","2002","http://link.springer.com/article/10.1007/s10032-001-0072-2","Article"
